27 33
27 52
26 52
30 38
22 63
25 43
25 65
25 73
20 83
29 51
29 60
28 77
28 78
25 84
22 88
22 100
20 97
53 103
43 113
43 119
41 109
38 115
30 151
38 112
38 122
38 143
30 165
30 168
24 29
54 116
38 127
42 107
34 118
34 134
34 136
34 136
33 149
33 171
33 167
33 4
28 28
31 5
29 124
29 11
19 90
19 95
17 96
31 104
38 110
38 125
38 123
38 139
23 10
23 19
23 35
23 46
32 167
32 163
32 6
32 3
42 8
32 13
27 68
39 69
25 85
25 87
25 86
25 89
18 93
18 94
16 99
16 101
24 53
41 106
38 111
38 121
30 144
30 182
32 164
24 25
24 41
24 40
32 130
32 157
30 174
30 174
37 108
50 132
37 120
37 126
37 138
37 137
37 148
37 141
37 154
37 160
34 170
34 179
22 34
22 39
25 34
25 62
23 76
25 70
24 21
33 30
24 24
25 37
24 45
33 59
24 57
25 61
24 56
33 66
24 67
41 109
30 151
38 112
38 122
38 143
30 168
24 26
27 80
25 91
25 92
25 98
31 175
31 181
28 20
28 22
28 42
28 44
26 67
26 72
36 102
31 131
31 142
37 133
33 146
32 183
25 172
29 15
32 140
31 2
29 155
23 18
39 105
38 114
38 117
37 128
32 150
32 166
37 129
37 135
36 150
47 147
47 145
34 161
34 173
34 156
34 159
29 176
29 178
30 162
30 180
30 186
30 12
30 16
30 64
34 169
33 7
32 185
32 9
32 14
24 55
24 50
24 47
24 48
46 146
34 152
46 153
34 158
34 163
42 177
32 187
29 17
29 184
24 31
38 36
31 23
28 27
28 32
28 49
28 54
22 71
22 74
28 58
25 75
23 79
27 81
25 82
